category,object,intent,scenario,pain_pattern,query,query_type,assigned_to
consumer_electronics,earbuds,travel case,,,earbuds travel case,product_intent,member_1
consumer_electronics,macbook,carrying case,,,macbook carrying case,product_intent,member_1
consumer_electronics,airpods,storage,,,airpods storage,product_intent,member_1
consumer_electronics,ipad,holder,,,ipad holder,product_intent,member_1
consumer_electronics,earbuds,organizer,,,earbuds organizer,product_intent,member_1
consumer_electronics,airpods,travel case,,,airpods travel case,product_intent,member_1
consumer_electronics,headphones,travel case,,,headphones travel case,product_intent,member_1
consumer_electronics,airpods,box,,,airpods box,product_intent,member_1
consumer_electronics,ipad,carrying case,,,ipad carrying case,product_intent,member_1
consumer_electronics,airpods,organizer,,,airpods organizer,product_intent,member_1
consumer_electronics,tablet,hard case,,,tablet hard case,product_intent,member_1
consumer_electronics,headphones,box,,,headphones box,product_intent,member_1
consumer_electronics,macbook,case,,,macbook case,product_intent,member_1
consumer_electronics,ipad,box,,,ipad box,product_intent,member_1
consumer_electronics,macbook,holder,,,macbook holder,product_intent,member_1
consumer_electronics,earbuds,box,,,earbuds box,product_intent,member_1
consumer_electronics,earbuds,case,,,earbuds case,product_intent,member_1
consumer_electronics,earbuds,carrying case,,,earbuds carrying case,product_intent,member_1
consumer_electronics,ipad,storage,,,ipad storage,product_intent,member_1
consumer_electronics,tablet,case,,,tablet case,product_intent,member_1
consumer_electronics,headphones,carrying case,,,headphones carrying case,product_intent,member_1
consumer_electronics,earbuds,protective case,,,earbuds protective case,product_intent,member_1
consumer_electronics,airpods,case,,,airpods case,product_intent,member_1
consumer_electronics,macbook,protective case,,,macbook protective case,product_intent,member_1
consumer_electronics,headphones,,,how to store {obj},how to store headphones,pain_or_howto,member_1
consumer_electronics,macbook,,,{obj} scratched easily,macbook scratched easily,pain_or_howto,member_1
consumer_electronics,macbook,,,safe storage for {obj},safe storage for macbook,pain_or_howto,member_1
consumer_electronics,earbuds,,,safe storage for {obj},safe storage for earbuds,pain_or_howto,member_1
consumer_electronics,tablet,,,best hard case for {obj},best hard case for tablet,pain_or_howto,member_1
consumer_electronics,airpods,,,{obj} easy to break,airpods easy to break,pain_or_howto,member_1
consumer_electronics,earbuds,,,best hard case for {obj},best hard case for earbuds,pain_or_howto,member_1
consumer_electronics,macbook,,,no good case for {obj},no good case for macbook,pain_or_howto,member_1
consumer_electronics,airpods,,,safe storage for {obj},safe storage for airpods,pain_or_howto,member_1
consumer_electronics,ipad,,,{obj} easy to break,ipad easy to break,pain_or_howto,member_1
consumer_electronics,earbuds,,,{obj} scratched easily,earbuds scratched easily,pain_or_howto,member_1
consumer_electronics,airpods,,,best hard case for {obj},best hard case for airpods,pain_or_howto,member_1
consumer_electronics,headphones,,,best hard case for {obj},best hard case for headphones,pain_or_howto,member_1
consumer_electronics,airpods,,,{obj} needs a case,airpods needs a case,pain_or_howto,member_1
consumer_electronics,ipad,,,no good case for {obj},no good case for ipad,pain_or_howto,member_1
consumer_electronics,airpods,,,{obj} scratched easily,airpods scratched easily,pain_or_howto,member_1
consumer_electronics,tablet,,,how to store {obj},how to store tablet,pain_or_howto,member_1
consumer_electronics,headphones,,,{obj} needs a case,headphones needs a case,pain_or_howto,member_1
consumer_electronics,macbook,,,how to protect {obj},how to protect macbook,pain_or_howto,member_1
consumer_electronics,ipad,,,{obj} needs a case,ipad needs a case,pain_or_howto,member_1
consumer_electronics,macbook,,,{obj} easy to break,macbook easy to break,pain_or_howto,member_1
consumer_electronics,earbuds,,,{obj} needs a case,earbuds needs a case,pain_or_howto,member_1
consumer_electronics,earbuds,,,how to protect {obj},how to protect earbuds,pain_or_howto,member_1
consumer_electronics,earbuds,,,no good case for {obj},no good case for earbuds,pain_or_howto,member_1
consumer_electronics,ipad,,,safe storage for {obj},safe storage for ipad,pain_or_howto,member_1
consumer_electronics,tablet,,,how to protect {obj},how to protect tablet,pain_or_howto,member_1
consumer_electronics,headphones,,,no good case for {obj},no good case for headphones,pain_or_howto,member_1
consumer_electronics,earbuds,,,best way to carry {obj},best way to carry earbuds,pain_or_howto,member_1
consumer_electronics,airpods,,,how to protect {obj},how to protect airpods,pain_or_howto,member_1
consumer_electronics,macbook,,,best way to carry {obj},best way to carry macbook,pain_or_howto,member_1
consumer_electronics,ipad,,,how to protect {obj},how to protect ipad,pain_or_howto,member_1
consumer_electronics,ipad,,,{obj} scratched easily,ipad scratched easily,pain_or_howto,member_1
consumer_electronics,tablet,,,{obj} scratched easily,tablet scratched easily,pain_or_howto,member_1
consumer_electronics,ipad,,,best way to carry {obj},best way to carry ipad,pain_or_howto,member_1
consumer_electronics,macbook,,,how to store {obj},how to store macbook,pain_or_howto,member_1
